name	category	state	exception	norm1	norm1_description	norm1_link	norm1_linkDescription	norm2	norm2_description	norm2_link	norm2_linkDescription	norm3	norm3_description	norm3_link	norm3_linkDescription	norm4	norm4_description	norm4_link	norm4_linkDescription	norm5	norm5_description	norm5_link	norm5_linkDescription
Argentina	Libertad de expresión	insuficiente	Cita	Ley 11723 Artículo 10	Artículo 10. Cualquiera puede publicar con fines didácticos o científicos, comentarios, críticas o notas referentes a las obras intelectuales, incluyendo hasta mil palabras de obras literarias o científicas u ocho compases en las musicales y en todos los casos sólo las partes del texto indispensables a ese efecto. Quedan comprendidas en esta disposición las obras docentes, de enseñanza, colecciones, antologías y otras semejantes. Cuando las inclusiones de obras ajenas sean la parte principal de la nueva obra, podrán los tribunales fijar equitativamente en juicio sumario la cantidad proporcional que les corresponde a los titulares de los derechos de las obras incluidas. 	http://servicios.infoleg.gob.ar/infolegInternet/anexos/40000-44999/42755/texact.htm 	Enlace a la norma																
Brasil	Libertad de expresión	insuficiente	Cita	Ley 9610 Artículo 46 num. III	Artículo 46. No constituye ofensa a los derechos de autor: (...) III - la citación en libros, periódicos, revistas o cualquier otro medio de comunicación, de pasajes de cualquier obra, para fines de estudio, crítica o polémica, en la medida justificada para el fin a alcanzar, indicándose el nombre del autor y el origen de la obra; 	https://wipolex.wipo.int/es/text/492820	Enlace a la norma																
Chile	Libertad de expresión	suficiente	Cita	Ley 17336 Artículo 71 B	Artículo 71 B. Es lícita la inclusión en una obra, sin remunerar ni obtener autorización del titular, de fragmentos breves de obra protegida, que haya sido lícitamente divulgada, y su inclusión se realice a título de cita o con fines de crítica, ilustración, enseñanza e investigación, siempre que se mencione su fuente, título y autor.	https://www.bcn.cl/leychile/navegar?idNorma=28933&idParte=8917019 	Enlace a la norma																
Colombia	Libertad de expresión	insuficiente	Cita	Ley 23 Artículo 31	Artículo 31. Es permitido citar a un autor transcribiendo los pasajes necesarios, siempre que éstos no sean tantos y seguidos que razonadamente puedan considerarse como una reproducción simulada y sustancial, que redunde en perjuicio del autor de la obra de donde se toman. En cada cita deberá mencionarse el nombre del autor de la obra citada y el título de dicha obra. Cuando la inclusión de obras ajenas constituya la parte principal de la nueva obra, a petición de la parte interesada, los tribunales fijarán equitativamente y en juicio verbal la cantidad proporcional que corresponda a cada uno de los titulares de las obras incluidas. 	http://derechodeautor.gov.co:8080/documents/10181/20095192/LEY+23+DEL+28+DE+ENERO+DE+1982++LEY+DE+DERECHOS+DE+AUTOR.pdf/9583a270-441d-4be6-a11a-f5e4676bfc3c 	Enlace a la norma	Ley 23 Artículo 178 d	Artículo 178. No son aplicables los artículos anteriores [sobre Derechos Conexos] de la presente Ley cuando los actos a que se refieren estos artículos tienen por objeto: (...) D. Hacer citaciones en forma de breves fragmentos de una interpretación o ejecución de un fonograma o de una emisión de radiodifusión, siempre que tales citaciones estén conformes con las buenas costumbres y estén justificadas por fines informativos.	http://derechodeautor.gov.co:8080/documents/10181/20095192/LEY+23+DEL+28+DE+ENERO+DE+1982++LEY+DE+DERECHOS+DE+AUTOR.pdf/9583a270-441d-4be6-a11a-f5e4676bfc3c	Enlace a la norma												
Ecuador	Libertad de expresión	suficiente	Cita	Código Ingenios Artículo 212 num. 1	Artículo 212. Actos que no requieren autorización para su uso.- Sin perjuicio de lo dispuesto en el artículo anterior, de conformidad con la naturaleza de la obra, los instrumentos internacionales de los que Ecuador es parte y los principios de este Código, no constituirá violación de los derechos patrimoniales del titular de derechos, aquellos casos determinados en el presente artículo, siempre que no atenten contra la normal explotación de las obras y no causen perjuicio injustificado a los legítimos intereses del titular o titulares de los derechos. En este sentido, los siguientes actos no requieren la autorización del titular de los derechos ni están sujetos a remuneración alguna: 1. La inclusión en una obra propia de fragmentos breves de obras ajenas de naturaleza escrita, sonora o audiovisual, de carácter plástico, fotográfico, figurativo o similares, siempre que se trate de obras ya divulgadas, que su inclusión se realice a título de cita o para su análisis, comentario o juicio crítico, con fines docentes o de investigación, en la medida justificada por el fin que se persiga, y siempre que se indique la fuente y el nombre del autor, y que en ningún caso constituya una explotación encubierta de la obra. 	https://wipolex.wipo.int/es/text/439410 	Enlace a la norma																
México	Libertad de expresión	insuficiente	Cita	Ley Federal del Derecho de Autor Artículo 148 I y III	Artículo 148. Las obras literarias y artísticas ya divulgadas podrán utilizarse, siempre que no se afecte la explotación normal de la obra, sin autorización del titular del derecho patrimonial y sin remuneración, citando invariablemente la fuente y sin alterar la obra, sólo en los siguientes casos: I. Cita de textos, siempre que la cantidad tomada no pueda considerarse como una reproducción simulada y sustancial del contenido de la obra; (...) III. Reproducción de partes de la obra, para la crítica e investigación científica, literaria o artística; 	https://wipolex.wipo.int/en/text/579009 	Enlace a la norma																
Panamá	Libertad de expresión	suficiente	Cita	Ley 64 Artículo 70	Artículo 70. Es permitido realizar, sin autorización del autor ni pago de remuneración, citas de obras lícitamente publicadas, con la obligación de indicar el nombre del autor y la fuente, a condición de que se hagan conforme a los usos honrados y en la medida que lo justifique el fin que se persiga.	https://www.wipo.int/edocs/lexdocs/laws/es/pa/pa043es.pdf 	Enlace a la norma																
Paraguay	Libertad de expresión	suficiente	Cita	Ley 1328 Artículo 40	Artículo 40. Se permite realizar, sin autorización del autor ni pago de remuneración, citas de obras lícitamente divulgadas, con la obligación de indicar el nombre del autor y la fuente, y a condición de que tales citas se hagan conforme a los usos honrados y en la medida justificada por el fin que se persiga.	https://wipolex.wipo.int/es/text/129429 	Enlace a la norma																
Perú	Libertad de expresión	suficiente	Cita	Decreto Legislativo 822 Artículo 44	Artículo 44. Es permitido realizar, sin autorización del autor ni pago de remuneración, citas de obras lícitamente divulgadas, con la obligación de indicar el nombre del autor y la fuente, y a condición de que tales citas se hagan conforme a los usos honrados y en la medida justificada por el fin que se persiga.	https://wipolex.wipo.int/es/text/506917	Enlace a la norma																
Uruguay	Libertad de expresión	insuficiente	Cita	Ley 9739 Artículo 45 num. 4	Artículo 45. No es reproducción ilícita: (...) 4.° Las transcripciones hechas con propósitos de comentarios, críticas o polémicas;	https://www.impo.com.uy/bases/leyes/9739-1937/45	Enlace a la norma																
Argentina	Libertad de expresión	suficiente	Noticias de actualidad	Ley 11723 Artículo 28	Artículo 28. Los artículos no firmados, colaboraciones anónimas, reportajes, dibujos, grabados o informaciones en general que tengan un carácter original y propio, publicados por un diario, revista u otras publicaciones periódicas por haber sido adquiridos u obtenidos por éste o por una agencia de informaciones con carácter de exclusividad, serán considerados como de propiedad del diario, revista, u otras publicaciones periódicas, o de la agencia. Las noticias de interés general podrán ser utilizadas, transmitidas o retransmitidas; pero cuando se publiquen en su versión original será necesario expresar la fuente de ellas. 	http://servicios.infoleg.gob.ar/infolegInternet/anexos/40000-44999/42755/texact.htm	Enlace a la norma																
Brasil	Libertad de expresión	insuficiente	Noticias de actualidad	Ley 9610 Artículo 46 num. I a	Artículo 46. No constituye ofensa a los derechos de autor: I - la reproducción: a) en la prensa diaria o periódica, de noticia o de artículo informativo, publicado en diarios o periódicos, con la mención del nombre del autor, si están firmados, y de la publicación de donde fueron transcritos; 	https://wipolex.wipo.int/es/text/492820	Enlace a la norma																
Chile	Libertad de expresión	no existe	Noticias de actualidad																				
Colombia	Libertad de expresión	suficiente	Noticias de actualidad	Ley 23 Artículo 34	Artículo 34. Será lícita la reproducción, distribución y comunicación al público de noticias u otras informaciones relativas a hechos o sucesos que hayan sido públicamente difundidos por la prensa o por la radiodifusión.	http://derechodeautor.gov.co:8080/documents/10181/20095192/LEY+23+DEL+28+DE+ENERO+DE+1982++LEY+DE+DERECHOS+DE+AUTOR.pdf/9583a270-441d-4be6-a11a-f5e4676bfc3c	Enlace a la norma																
Ecuador	Libertad de expresión	suficiente	Noticias de actualidad	Código Ingenios Artículo 212 num. 6	Artículo 212. Actos que no requieren autorización para su uso.- Sin perjuicio de lo dispuesto en el artículo anterior, de conformidad con la naturaleza de la obra, los instrumentos internacionales de los que Ecuador es parte y los principios de este Código, no constituirá violación de los derechos patrimoniales del titular de derechos, aquellos casos determinados en el presente artículo, siempre que no atenten contra la normal explotación de las obras y no causen perjuicio injustificado a los legítimos intereses del titular o titulares de los derechos. En este sentido, los siguientes actos no requieren la autorización del titular de los derechos ni están sujetos a remuneración alguna:  (...)  6. La reproducción, adaptación, distribución y comunicación pública con fines informativos de las noticias del día o de hechos diversos que tengan el carácter de simples informaciones periodísticas, difundidas por cualquier medio o procedimiento, siempre que se indique su origen; 	https://wipolex.wipo.int/es/text/439410	Enlace a la norma																
México	Libertad de expresión	insuficiente	Noticias de actualidad	Ley Federal del Derecho de Autor Artículo 14 IX	Artículo 14. No son objeto de la protección como derecho de autor a que se refiere esta Ley:  (...) IX. El contenido informativo de las noticias, pero sí su forma de expresión	https://wipolex.wipo.int/en/text/579009	Enlace a la norma																
Panamá	Libertad de expresión	suficiente	Noticias de actualidad	Ley 64 Artículo 13 num. 3	Artículo 13. No gozan de protección por el derecho de autor: (...) 3. Las noticias del día, ni los sucesos que tengan el carácter de simples informaciones de prensa.	https://www.wipo.int/edocs/lexdocs/laws/es/pa/pa043es.pdf	Enlace a la norma	Ley 64 Artículo 74	Artículo 74. Es lícita la reproducción de las noticias del día o de hechos diversos que tengan el carácter de simples informaciones de prensa, publicados por ésta o por otros medios de comunicación social, siempre que no constituyan obras de ingenio en razón de la forma de expresión y sin perjuicio de los principios que rigen la competencia desleal.	https://www.wipo.int/edocs/lexdocs/laws/es/pa/pa043es.pdf	Enlace a la norma												
