categoria	caso	pais	es_legal	norma	notas
categoria_1	categoria_1_caso_1	Argentina	no	Ley 11723	NO ES LEGAL. No existen excepciones que permitan las reproducciones con fines educativos. Tampoco existen excepciones que permitan la puesta a disposición al público a demanda y a distancia de una obra (en este caso, un artículo completo) con fines educativos.
categoria_1	categoria_1_caso_1	Bolivia	no	Ley 1322	NO ES LEGAL. Existe una excepción que permite la inclusión de fragmentos cortos de obras ajenas para su análisis, comentario o juicio crítico, con fines docentes o de investigación. Esta excepción no cubre las características de este escenario (reproducción de un artículo completo). Tampoco existe ninguna excepción que permita la puesta a disposición al público a demanda y a distancia de una obra con fines educativos. Ver: Artículo 24.
categoria_1	categoria_1_caso_1	Brasil	no	Ley 9610	NO ES LEGAL. No existen excepciones que permitan las reproducciones con fines educativos. Sí existen excepciones que permiten reproducir pequeños fragmentos para uso privado, citar e incluir en una obra pequeños fragmentos de obras preexistentes, pero estas excepciones no cubren la posibilidad de reproducción de un artículo completo y su puesta a disposición al público a demanda y a distancia de una obra con fines educativos. Ver: Artículo 46.II (copia privada de pequeños fragmentos), Artículo 46.III (cita), Artículo 46.VIII (reproducción de extractos de obras en otra obra).
categoria_1	categoria_1_caso_1	Chile	no	Ley 17336	NO ES LEGAL. Las excepciones existentes permiten reproducir "pequeños fragmentos" (en este caso es necesario reproducir un artículo completo) y limitan los actos de comunicación educativa a aquellos que se realicen en "establecimientos educativos" (referencia de lugar). No existe una excepción que permita la puesta a disposición a distancia de contenidos con fines educativos. Ver: Artículo 71.M (reproducciones y traducciones con fines educativos), Artículo 71.N (usos en establecimientos educativos no considerados comunicación pública/ejecución pública), Artículo 71.O (reproducciones temporales).
categoria_1	categoria_1_caso_1	Colombia	no	Ley 1915 y Ley 23	NO ES LEGAL. Si bien existe una excepción que permite la reproducción con fines didácticos de artículos completos "por medios reprográficos", no queda claro si los "medios reprográficos" incluyen las copias digitales. Existe una excepción para comunicaciones con fines educativos, pero esta excepción no cubre el acto de puesta a disposición del público a demanda y a distancia previsto en este supuesto, debido a que los actos de comunicación se encuentran limitados a un espacio físico determinado (instalaciones de los institutos de educación). Ver: Ley 1915 Artículo 16(e) (reproducciones con fines didácticos), Ley 23 Artículo 168(2) (comunicación escolar).
categoria_1	categoria_1_caso_1	Costa Rica	incierto	Ley 6683	LEGALIDAD INCIERTA. Existe una excepción que permite "la utilización y reproducción" de las obras a título de ilustración de la enseñanza por medio de publicaciones, en la medida justificada por el fin perseguido. La expresión genérica "utilización de una obra" parecería cubrir la puesta a disposición al público a demanda y a distancia del artículo. Pero no es claro que esté permitido a los estudiantes descargar (reproducir) dicha obra, ya que existe otra disposición que permite la reproducción de una obra didáctica o científica, efectuada personal y exclusivamente por el interesado para su propio uso, pero limita esa reproducción a un solo ejemplar, mecanografiado o manuscrito. Ver: Artículo 73 (utilización y reproducción con fines de ilustración de la enseñanza), Artículo 74 (reproducción para uso personal de obra didáctica o científica).
categoria_1	categoria_1_caso_1	Cuba	gratis	Ley 14	SÍ, ES LEGAL. Existe una excepción que permite utilizar una obra a título de ilustración de la enseñanza (entre otros usos), incluso íntegramente si su breve extensión y naturaleza lo justifican. Dada la generalidad de la expresión "a título de ilustración de la enseñanza", la amplitud del verbo "utilizar" y la posibilidad de utilizar obras completas, podría entenderse que abarca tanto los actos de reproducción como los de puesta a disposición a demanda y a distancia previstos en este escenario. Ver: Artículo 38(b) (uso de obra a título de ilustración de la enseñanza).
categoria_1	categoria_1_caso_1	Ecuador	gratis	Código Ingenios	SÍ, ES LEGAL. Existe una excepción que alcanza a la reproducción de artículos completos (entre otros materiales) con fines didácticos. Esta excepción permite además el uso de dichas obras en cursos presenciales, híbridos, en línea y de educación a distancia, siempre que estén destinados exclusivamente a los estudiantes de dichos cursos. Ver: Artículo 212.15 (reproducciones educativas y uso en cursos presenciales, híbridos, en línea y a distancia).
categoria_1	categoria_1_caso_1	El Salvador	incierto	Ley de Propiedad Intelectual (modificada por el Decreto Legislativo 611)	LEGALIDAD INCIERTA. Existe una excepción que permite la reproducción (por medios reprográficos) para la enseñanza o celebración de exámenes en instituciones educativas y alcanza a artículos completos (entre otros materiales). No queda claro si los "medios reprográficos" permiten las copias digitales. Existe otra excepción que permite la reproducción de breves fragmentos de obras literarias, artísticas o científicas con fines didácticos (entre otros), pero las limitaciones en cuanto a la cantidad hacen que esta excepción no sea compatible con el escenario planteado. Por último, también existe una excepción que permite comunicaciones con fines didácticos en un aula o un lugar similar dedicado a la enseñanza. Podría interpretarse que esta excepción permite las copias temporales realizadas durante los actos de comunicación a distancia, pero no está claro. Ver: Artículo 45(c) (reproducciones reprográficas para enseñanza y exámenes), Artículo 49(c) (reproducciones de fragmentos breves con fines educativos), Artículo 44(c) (comunicaciones con fines educativos).
categoria_1	categoria_1_caso_1	Guatemala	incierto	Decreto 33-98 y modificativas	LEGALIDAD INCIERTA. Existe una excepción que permite la reproducción reprográfica de artículos para la enseñanza o la realización de exámenes en instituciones educativas. No está claro si la expresión "medios reprográficos" permite copias digitales. Hay una excepción que permite la comunicación con fines educativos, en el curso de las actividades de una institución educativa, por parte del personal docente y los estudiantes de esa institución. Podría interpretarse que esta excepción permite las copias digitales realizadas a partir del acto de puesta a disposición a distancia, pero no está claro. Ver: Artículo 64(a) (reproducciones reprográficas para enseñanza y exámenes), Artículo 63(b) (comunicaciones con fines educativos).
